"ID","revision","have-sdat","have-odc","have-l-thumb","have-s-thumb","extra data"
"82B23F30-09B14DBE-89F1C6B7-66C441A5","34","1","1","1","1",""
"A5E98FE9-6C0D4CAD-B8E0AD70-4BA62BED","31","1","1","1","1",""
"74382542-9670476C-BFBCA42A-23DE9BD8","34","1","1","1","1",""
"6A00C124-AF174D26-9C92CCCC-0B08B0E2","34","1","1","1","1",""
"22CD66FD-110F464E-B929C1D0-AF830D3F","32","1","1","1","1",""
"05BF361F-178449C7-97D8E87D-1A583712","0","1","1","0","1",""
"4E3DF273-47984C0B-A924FFEC-0D077BE3","34","1","1","1","1",""
"A87DE8D3-E2CF4D7E-B0CCEB76-57E0DF64","31","1","1","1","1",""
"A3338953-7804423B-A6047616-92BB96D8","34","1","1","1","1",""
"DC2DEF0E-03E44260-A7C77BDD-AE3B4F9D","31","1","1","1","1",""
"98D3FEAC-CBB04878-B12E7ADD-9FBF7331","34","1","1","1","1",""
"2DFDB120-59F74C79-948D1937-551230A5","32","1","1","1","1",""
"BDFCF869-B61B4EE2-86F0FCD6-6D61CF0C","32","1","1","1","1",""
"B7564D7E-229A4EDC-908E36AC-D0DE765D","31","1","1","1","1",""
"95B88ECD-36864AF4-B68F9882-F34C6A0D","31","1","1","1","1",""
"D6A67EFA-EEFC419D-8A6C5864-B33AEA73","31","1","1","1","1",""
"0FC96BBF-A10B4832-BA83AA90-4A49D1A7","31","1","1","1","1",""
"3D1FCFE1-20E24FCC-9F1501C3-9EAF0532","31","1","1","1","1",""
"28239C98-CA854F3B-94B6C239-16181EDD","31","1","1","1","1",""
"83F627F1-38904B2F-88395441-CF931DAB","37","1","1","1","1",""
"566564C1-AC6B4248-874D6240-B9AA0290","37","1","1","1","1",""
"A58E4E18-8FBE4394-BCF3A4BA-E3F92B43","38","1","1","1","1",""
"D84FF194-08E541C8-9861BD7E-9DDBD8FC","37","1","1","1","1",""
"7E4BAD05-0FEE488C-931A5920-1EBDD820","37","1","1","1","1",""
"862BD812-50F64A4E-BA7CF8E9-1ED8D898","37","1","1","1","1",""
"B8B0E26D-0EBD472F-9EF47418-2A5F0218","37","1","1","1","1",""
"B204C41C-AF5348D8-8FA46877-E18F79DF","37","1","1","1","1",""
"0A644657-F92E4FD2-A8013551-D917BF93","37","1","1","1","1",""
"33D44B1B-1C0147A6-8A5C7B69-F7562D18","37","1","1","1","1",""
"F4AC5687-13BC4580-87208751-E0B3BBFC","31","1","1","1","1",""
"76F20D6C-F2E648A8-B1B50F39-ADC089F1","31","1","1","1","1",""
"8B029C21-08EE437D-86984734-C56DA062","32","1","1","1","1",""
"1D5E1C31-0206411B-9A65990D-09FA6E77","32","1","1","1","1",""
"10F5EF5E-04624E0E-ACDCDF9F-82EA3920","33","1","1","0","1",""
"E6740500-6BF64AE2-A112C97F-3441944F","32","1","1","0","1",""
"C588195D-6527482C-951AF7AA-A5965E82","32","1","1","0","1",""
"CEBF06BE-4A244DDF-99AF309B-FFB44E2E","31","1","1","0","1",""
"E740AD71-F84D43A4-9A9FE4F1-9E99BE62","31","1","1","0","1",""
"E82F6085-D0E04CF9-B89C401F-FABA85D5","33","1","1","0","1",""
"7BD44C34-1F074B5C-899C4472-103F9BD2","35","1","1","0","1",""
"763567AD-82294097-8E365B03-49377DA9","31","1","1","1","1",""
"5F20D250-21884E3F-AC982E86-31DAFEC1","33","1","1","1","1",""
"390AE4AC-765F4103-AA48F236-A1562733","33","1","1","1","1",""
"D2CD5057-43744A2D-AB6796BA-B4DC4B9E","32","1","1","1","1",""
"EF8CBBB9-D6024FCF-829177BA-C2AA41EE","32","1","1","1","1",""
